week,date,ask,bid
Week 1,15-Dec-06,15646.41429,16506.15714
Week 2,22-Dec-06,15559.72857,16638.65714
Week 3,29-Dec-06,15511.21429,16585.31429
Week 4,5-Jan-07,15702.55714,16401.9
Week 1,12-Jan-07,15458.71429,16624.15714
Week 2,19-Jan-07,15573.44286,16555.1
Week 3,26-Jan-07,15600.34286,16513.94286
Week 4,2-Feb-07,15502.82857,16588.21429
Week 1,9-Feb-07,15487.72857,16477.78571
Week 2,16-Feb-07,15430.61429,16529.18571
Week 3,23-Feb-07,15466.68571,16465.27143
Week 4,2-Mar-07,15581.91429,16452.34286
Week 1,9-Mar-07,15503.27143,16531.68571
Week 2,16-Mar-07,15506.35714,16528.11429
Week 3,23-Mar-07,15620.64286,16419.92857
Week 4,30-Mar-07,15528.14286,16521.98571
Week 1,6-Apr-07,15456.11429,16544.3
Week 2,13-Apr-07,15573.31429,16513.02857
Week 3,20-Apr-07,15558.52857,16527.45714
Week 4,27-Apr-07,15627.82857,16486.5
Week 1,4-May-07,15572.67143,16517.45714
Week 2,11-May-07,15525.97143,16533.62857
Week 3,18-May-07,15474.94286,16634.75714
Week 4,25-May-07,15835.82857,16298.84286
Week 1,1-Jun-07,15840.32857,16371.21429
Week 2,8-Jun-07,15842.44286,16353.85714
Week 3,15-Jun-07,15816.78571,16354.37143
Week 4,22-Jun-07,15873.87143,16368.65714
Week 1,29-Jun-07,15900.61429,16356.9
Week 2,6-Jul-07,15880.84286,16374.07143
Week 3,13-Jul-07,15884.08571,16372.95714
Week 4,20-Jul-07,15908.77143,16328.98571
Week 1,27-Jul-07,15866.7,16424.08571
Week 2,3-Aug-07,15840.77143,16386.81429
Week 3,10-Aug-07,15972.3,16402.15714
Week 4,17-Aug-07,15990.51429,16469.25714
Week 1,24-Aug-07,15967.54286,16483.98571
Week 2,31-Aug-07,15979.34286,16518.32857
Week 3,7-Sep-07,15984.1,16437.35714
Week 4,14-Sep-07,16014.61429,16506.57143
Week 1,21-Sep-07,15909.67143,16378.32857
Week 2,28-Sep-07,15813.42857,16308.54286
Week 3,5-Oct-07,15884.51429,16269.22857
Week 4,12-Oct-07,15829.21429,16342.04286
Week 1,19-Oct-07,15841.75714,16313.64286
Week 2,26-Oct-07,15850.91429,16307.72857
Week 3,2-Nov-07,15810.88571,16317.71429
Week 4,9-Nov-07,15829.51429,16314.4
Week 1,16-Nov-07,15781.41429,16305.08571
Week 2,23-Nov-07,15796.47143,16308.08571
Week 3,30-Nov-07,15796.08571,16323.42857
Week 4,7-Dec-07,15779.44286,16306.6
Week 1,14-Dec-07,15824.4,16312.5
Week 2,21-Dec-07,15842.38571,16229.42857
Week 3,28-Dec-07,15770.62857,16289.54286
Week 4,4-Jan-08,15736.48571,16216.34286
Week 1,11-Jan-08,15750.12857,16219.01429
Week 2,18-Jan-08,15752.42857,16243.01429
