week,date,ask,bid
Week 1,07Jan2011,19352.80000,19658.64286
Week 2,14Jan2011,19379.52857,19641.41429
Week 3,21Jan2011,19304.65714,19644.60000
Week 4,28Jan2011,19370.77143,19676.04286
Week 1,04Feb2011,19341.75714,19695.67143
Week 2,11Feb2011,19869.94286,20171.15714
Week 3,18Feb2011,20343.04286,20621.07143
Week 4,25Feb2011,20207.24286,20459.20000
Week 1,04Mar2011,20199.41429,20410.50000
Week 2,11Mar2011,20696.21429,20967.58571
Week 3,18Mar2011,20728.34286,20989.54286
Week 4,25Mar2011,20724.94286,21117.57143
Week 1,01Apr2011,20752.70000,21028.97143
Week 2,08Apr2011,20690.57143,21015.08571
Week 3,15Apr2011,20788.82857,21043.27143
Week 4,22Apr2011,20754.72857,20944.61429
Week 1,29Apr2011,20435.15714,20820.77143
Week 2,06May2011,20456.10000,20809.61429
Week 3,13May2011,20469.28571,20858.72857
Week 4,20May2011,20537.48571,20986.14286
Week 1,27May2011,20363.28571,20758.34286
Week 2,03Jun2011,20400.65714,20703.00000
Week 3,10Jun2011,20396.54286,20817.81429
Week 4,17Jun2011,20462.71429,20876.28571
Week 1,24Jun2011,20483.22857,20671.20000
Week 2,01Jul2011,20400.44286,20743.68571
Week 3,08Jul2011,20458.40000,20743.62857
Week 4,15Jul2011,20419.87143,20742.85714
Week 1,22Jul2011,20458.92857,20714.32857
Week 2,29Jul2011,20335.31429,20732.81429
Week 3,05Aug2011,20394.14286,20909.91429
Week 4,12Aug2011,20514.02857,21045.85714
Week 1,19Aug2011,20586.75714,20967.25714
Week 2,26Aug2011,20672.20000,20962.41429
Week 3,02Sep2011,20671.48571,21036.31429
Week 4,09Sep2011,20720.70000,21025.04286
Week 1,16Sep2011,20722.17143,20957.54286
Week 2,23Sep2011,20633.20000,21029.71429
Week 3,30Sep2011,20691.34286,20954.58571
Week 4,07Oct2011,20717.04286,20949.51429
Week 1,14Oct2011,20723.60000,21012.37143
Week 2,21Oct2011,20735.82857,21085.30000
Week 3,28Oct2011,20821.37143,21158.05714
Week 4,04Nov2011,20837.81429,21246.81429
Week 1,11Nov2011,20800.80000,21163.82857
